K|4|Orange|0,8|0,96|0,17|...
K|4,4|Orange|0,49|0,87|0,16|...
M|3,3|Red|0,313|0,47|0,562|...
M|3,5|Red|0,361|0,62|0,362|...
G|5,4|Yellow|1|1,1|1,5|...
M|2,9|Red|0,252|0,25|0,578|...
M|3,4|Red|0,053|0,29|0,339|...
M|3|Red|0,287|0,51|0,417|...
M|2,6|Red|0,25|0,27|0,591|...
M|3,2|Red|0,112|0,62|0,32|...
M|3,1|Red|0,231|0,65|0,596|...
M|3,5|Red|0,187|0,32|0,093|...
K|3,9|Orange|0,72|0,93|0,41|...
M|3|Red|0,159|0,63|0,385|...
M|3|Red|0,223|0,32|0,105|...
M|3,7|Red|0,026|0,69|0,096|...
M|3,4|Red|0,17|0,62|0,562|...
G|5,7|Yellow|0,9|1|0,9|...
M|3,3|Red|0,394|0,22|0,072|...
M|3,6|Red|0,103|0,65|0,211|...
M|2,7|Red|0,439|0,7|0,446|...
M|3,3|Red|0,309|0,45|0,086|...
M|2,5|Red|0,36|0,31|0,746|...
M|3,1|Red|0,176|0,55|0,195|...
M|3|Red|0,014|0,64|0,122|...
M|2,7|Red|0,372|0,45|0,057|...
M|3,5|Red|0,019|0,59|0,59|...
M|3|Red|0,021|0,68|0,093|...
M|3,1|Red|0,085|0,32|0,688|...
M|2,5|Red|0,334|0,2|0,061|...
M|3,6|Red|0,249|0,25|0,389|...
M|3,3|Red|0,101|0,5|0,739|...
G|5,7|Yellow|0,8|1,1|1,4|...
M|3,2|Red|0,334|0,52|0,467|...
K|4|Orange|0,59|0,79|0,37|...
K|3,7|Orange|0,55|0,85|0,41|...
M|3,6|Red|0,219|0,57|0,501|...
M|2,9|Red|0,423|0,5|0,208|...
M|3,7|Red|0,318|0,42|0,381|...
K|5|Orange|0,79|0,91|0,19|...
M|3,4|Red|0,423|0,47|0,661|...
M|3,1|Red|0,403|0,6|0,545|...
M|2,9|Red|0,048|0,63|0,598|...
M|2,8|Red|0,265|0,43|0,077|...
K|4,4|Orange|0,74|0,74|0,27|...
K|4,2|Orange|0,62|0,74|0,3|...
M|3,7|Red|0,09|0,21|0,155|...
K|4,7|Orange|0,63|0,78|0,44|...
M|3,5|Red|0,335|0,51|0,601|...
K|4,2|Orange|0,47|0,75|0,21|...
M|3,1|Red|0,216|0,59|0,241|...
M|3|Red|0,063|0,45|0,377|...
M|2,8|Red|0,232|0,3|0,477|...
M|2,8|Red|0,374|0,62|0,576|...
M|2,8|Red|0,171|0,3|0,788|...
M|2,6|Red|0,267|0,42|0,734|...
K|3,8|Orange|0,59|0,93|0,35|...
M|2,4|Red|0,233|0,46|0,675|...
K|4,3|Orange|0,65|0,83|0,36|...
A|8,7|Blue white|1,6|1,4|6|...
M|3,5|Red|0,281|0,2|0,182|...
M|3,3|Red|0,098|0,43|0,162|...
M|3|Red|0,264|0,44|0,653|...
K|3,7|Orange|0,55|0,78|0,59|...
M|2,9|Red|0,407|0,22|0,599|...
F|6,1|White|1,2|1,2|1,9|...
M|2,7|Red|0,278|0,62|0,535|...
K|4,9|Orange|0,47|0,88|0,53|...
M|3,1|Red|0,268|0,61|0,119|...
K|4,5|Orange|0,49|0,7|0,23|...
M|2,7|Red|0,272|0,23|0,553|...
G|5,4|Yellow|0,9|1|0,6|...
M|3,2|Red|0,341|0,66|0,185|...
M|3,3|Red|0,445|0,55|0,328|...
M|3,3|Red|0,253|0,41|0,128|...
M|3,7|Red|0,278|0,4|0,206|...
M|3,7|Red|0,31|0,36|0,559|...
M|3,6|Red|0,354|0,32|0,249|...
K|4,5|Orange|0,5|0,76|0,18|...
G|5,5|Yellow|1|1,1|1,2|...
M|3,1|Red|0,262|0,32|0,371|...
K|4,3|Orange|0,68|0,87|0,16|...
M|3,7|Red|0,249|0,36|0,265|...
M|3,5|Red|0,321|0,37|0,201|...
M|3,7|Red|0,224|0,34|0,156|...
M|3|Red|0,347|0,23|0,781|...
K|5|Orange|0,6|0,94|0,1|...
M|2,8|Red|0,326|0,53|0,365|...
M|3,5|Red|0,254|0,65|0,138|...
M|3,2|Red|0,405|0,53|0,37|...
M|3,7|Red|0,199|0,45|0,669|...
M|2,8|Red|0,134|0,32|0,16|...
M|3|Red|0,195|0,67|0,292|...
G|5,9|Yellow|0,9|1|1,4|...
M|3,3|Red|0,268|0,3|0,349|...
M|2,9|Red|0,215|0,66|0,531|...
M|2,4|Red|0,435|0,5|0,601|...
K|3,8|Orange|0,48|0,73|0,37|...
M|3,5|Red|0,125|0,34|0,138|...
G|5,7|Yellow|1|1,1|0,8|...
G|5,5|Yellow|0,9|1,1|1,4|...
M|3,1|Red|0,042|0,32|0,08|...
M|3,6|Red|0,094|0,61|0,584|...
K|4,6|Orange|0,74|0,84|0,3|...
M|3,1|Red|0,294|0,36|0,668|...
M|2,8|Red|0,032|0,67|0,285|...
K|4,4|Orange|0,73|0,93|0,14|...
M|2,6|Red|0,13|0,54|0,505|...
K|5,1|Orange|0,62|0,94|0,08|...
M|3,5|Red|0,13|0,69|0,336|...
M|3,2|Red|0,363|0,52|0,666|...
M|2,5|Red|0,33|0,23|0,343|...
M|3,2|Red|0,242|0,58|0,588|...
M|2,5|Red|0,333|0,66|0,669|...
M|2,4|Red|0,011|0,68|0,269|...
M|3,1|Red|0,339|0,22|0,497|...
G|5,6|Yellow|0,8|1,1|1,3|...
M|3,3|Red|0,243|0,23|0,133|...
K|4|Orange|0,6|0,74|0,46|...
K|4,8|Orange|0,47|0,83|0,27|...
M|3,2|Red|0,057|0,67|0,776|...
M|2,7|Red|0,239|0,38|0,547|...
M|3,1|Red|0,246|0,21|0,613|...
M|3|Red|0,366|0,22|0,455|...
K|4,6|Orange|0,71|0,85|0,43|...
M|2,7|Red|0,095|0,66|0,392|...
M|2,7|Red|0,441|0,21|0,788|...
M|3,3|Red|0,036|0,48|0,384|...
F|6,7|White|1,4|1,3|4,2|...
K|4,8|Orange|0,74|0,82|0,44|...
M|2,5|Red|0,123|0,67|0,178|...
M|2,4|Red|0,268|0,59|0,509|...
M|3,3|Red|0,254|0,45|0,284|...
M|2,4|Red|0,401|0,31|0,768|...
M|3,4|Red|0,406|0,46|0,202|...
M|3,3|Red|0,392|0,37|0,782|...
M|2,8|Red|0,131|0,58|0,455|...
M|3|Red|0,281|0,67|0,244|...
M|3,4|Red|0,337|0,47|0,639|...
M|2,8|Red|0,166|0,67|0,209|...
M|3,2|Red|0,175|0,43|0,562|...
M|3,4|Red|0,446|0,35|0,033|...
K|4,8|Orange|0,64|0,72|0,46|...
M|3,3|Red|0,011|0,59|0,508|...
A|9,7|Blue white|1,6|1,5|14,6|...
F|6,8|White|1,3|1,3|1,8|...
M|3,4|Red|0,345|0,69|0,375|...
K|5|Orange|0,46|0,78|0,4|...
M|2,7|Red|0,198|0,35|0,531|...
M|3,4|Red|0,075|0,56|0,433|...
M|3,5|Red|0,319|0,57|0,586|...
M|3|Red|0,404|0,25|0,166|...
M|2,5|Red|0,33|0,21|0,683|...
G|5,2|Yellow|1|1|0,9|...
M|2,5|Red|0,356|0,38|0,394|...
K|4|Orange|0,67|0,75|0,18|...
M|3,2|Red|0,342|0,4|0,485|...
M|2,9|Red|0,356|0,57|0,175|...
M|3,2|Red|0,078|0,57|0,116|...
M|3,5|Red|0,16|0,39|0,768|...
M|3|Red|0,267|0,21|0,578|...
M|2,7|Red|0,174|0,56|0,226|...
K|3,7|Orange|0,63|0,73|0,59|...
M|2,7|Red|0,406|0,23|0,177|...
M|3,5|Red|0,327|0,28|0,684|...
M|3,2|Red|0,262|0,61|0,145|...
K|3,8|Orange|0,49|0,94|0,54|...
M|3|Red|0,031|0,22|0,18|...
M|3,3|Red|0,14|0,33|0,264|...
F|6,6|White|1,1|1,2|1,6|...
M|3,2|Red|0,132|0,52|0,287|...
M|3,4|Red|0,289|0,64|0,132|...
M|2,8|Red|0,242|0,44|0,162|...
M|2,9|Red|0,433|0,26|0,352|...
M|3|Red|0,346|0,33|0,439|...
M|2,6|Red|0,057|0,33|0,624|...
M|2,5|Red|0,192|0,51|0,487|...
M|3,6|Red|0,205|0,47|0,566|...
K|3,9|Orange|0,7|0,87|0,54|...
M|2,8|Red|0,149|0,57|0,235|...
M|2,9|Red|0,318|0,34|0,288|...
M|2,8|Red|0,299|0,69|0,325|...
G|5,5|Yellow|1|1|1,2|...
G|5,5|Yellow|0,9|1,1|1|...
M|2,5|Red|0,038|0,3|0,573|...
M|2,6|Red|0,272|0,2|0,079|...
K|4,8|Orange|0,48|0,91|0,16|...
K|3,7|Orange|0,65|0,78|0,15|...
G|5,8|Yellow|0,9|1,1|1,1|...
M|2,5|Red|0,072|0,46|0,296|...
K|4,2|Orange|0,64|0,73|0,36|...
A|9,5|Blue white|1,8|1,6|18|...
K|4,9|Orange|0,61|0,94|0,34|...
M|3,4|Red|0,105|0,36|0,093|...
M|3,2|Red|0,402|0,25|0,48|...
G|5,8|Yellow|0,9|1|1,5|...
M|2,5|Red|0,4|0,24|0,669|...
M|3,6|Red|0,079|0,68|0,015|...
M|3,1|Red|0,125|0,59|0,275|...
M|3,6|Red|0,295|0,57|0,534|...
M|3|Red|0,171|0,64|0,02|...
M|2,7|Red|0,173|0,6|0,266|...
M|2,5|Red|0,15|0,44|0,747|...
F|6,1|White|1,4|1,2|2,8|...
M|2,7|Red|0,049|0,46|0,711|...
M|2,8|Red|0,104|0,36|0,726|...
M|2,8|Red|0,4|0,2|0,754|...
M|2,8|Red|0,151|0,54|0,32|...
M|3,6|Red|0,301|0,21|0,02|...
M|2,8|Red|0,07|0,56|0,366|...
K|4,1|Orange|0,72|0,76|0,47|...
M|2,7|Red|0,19|0,22|0,516|...
K|4,1|Orange|0,47|0,77|0,2|...
M|3,6|Red|0,045|0,57|0,031|...
M|2,6|Red|0,379|0,67|0,228|...
M|2,8|Red|0,078|0,34|0,584|...
M|2,8|Red|0,354|0,46|0,373|...
G|5,8|Yellow|0,8|1,1|1,4|...
M|3|Red|0,16|0,5|0,753|...
M|2,8|Red|0,163|0,25|0,309|...
M|2,8|Red|0,194|0,63|0,677|...
M|3,6|Red|0,143|0,27|0,187|...
M|3,6|Red|0,232|0,66|0,677|...
K|4,3|Orange|0,48|0,77|0,12|...
M|2,7|Red|0,115|0,36|0,021|...
K|4,2|Orange|0,76|0,87|0,58|...
M|2,4|Red|0,159|0,27|0,198|...
M|3,5|Red|0,243|0,36|0,746|...
M|3,2|Red|0,098|0,6|0,561|...
M|3,4|Red|0,31|0,48|0,599|...
M|3,3|Red|0,332|0,67|0,187|...
K|4,9|Orange|0,78|0,86|0,52|...
K|4,3|Orange|0,5|0,86|0,36|...
M|2,5|Red|0,285|0,44|0,773|...
M|2,5|Red|0,349|0,37|0,563|...
M|3|Red|0,41|0,37|0,735|...
M|3,4|Red|0,106|0,25|0,161|...
M|2,6|Red|0,356|0,61|0,585|...
G|5,8|Yellow|0,9|1|1,1|...
G|5,2|Yellow|1|1|0,6|...
M|2,9|Red|0,297|0,41|0,495|...
M|3,6|Red|0,201|0,36|0,1|...
M|2,6|Red|0,379|0,24|0,176|...
M|2,4|Red|0,045|0,63|0,578|...
M|2,6|Red|0,285|0,62|0,548|...
M|2,8|Red|0,211|0,65|0,562|...
K|5,1|Orange|0,62|0,74|0,15|...
M|2,6|Red|0,074|0,29|0,396|...
K|4,7|Orange|0,64|0,95|0,6|...
M|3,6|Red|0,444|0,56|0,261|...
M|2,8|Red|0,213|0,25|0,787|...
M|3|Red|0,358|0,28|0,789|...
M|3,2|Red|0,182|0,47|0,784|...
M|3,1|Red|0,139|0,45|0,071|...
M|3,6|Red|0,224|0,69|0,576|...
M|3,1|Red|0,058|0,5|0,613|...
K|4,5|Orange|0,66|0,76|0,17|...
M|2,8|Red|0,426|0,27|0,505|...
G|5,3|Yellow|1|1,1|0,7|...
M|2,6|Red|0,191|0,51|0,115|...
M|3,6|Red|0,376|0,61|0,682|...
M|3,3|Red|0,082|0,46|0,54|...
M|3,7|Red|0,422|0,27|0,179|...
M|2,6|Red|0,098|0,59|0,262|...
M|2,8|Red|0,13|0,47|0,656|...
M|2,6|Red|0,232|0,47|0,591|...
M|3,4|Red|0,245|0,46|0,649|...
M|3|Red|0,215|0,29|0,674|...
G|5,3|Yellow|0,8|1,1|1,1|...
M|3,3|Red|0,321|0,47|0,153|...
K|4,4|Orange|0,61|0,78|0,13|...
G|5,5|Yellow|0,8|1,1|0,7|...
